plu_code,language_code,category,commodity,variety,size_label,scientific_name,display_name
3032,FR,Fruits,Mandarines,Ellendale,,,Ellendale Mandarines
3033,EN,Fruits,Melon,Charentais,Small,Cucumis melo,Charentais Melon
3033,ES,Fruits,Melón,Charentais,Pequeño,Cucumis melo,Charentais Melón
3033,FR,Fruits,Melon,Cantaloup Charentais,petit,,Cantaloup Charentais Melon
3034,EN,Fruits,Melon,Charentais,Large,Cucumis melo,Charentais Melon
3034,ES,Fruits,Melón,Charentais,Grande,Cucumis melo,Charentais Melón
3034,FR,Fruits,Melon,Cantaloup Charentais,gros,,Cantaloup Charentais Melon
3035,EN,Fruits,Nectarine,"White Flesh, Tree Ripened, Ready-To-Eat",Large,Prunus persica,"White Flesh, Tree Ripened, Ready-To-Eat Nectarine"
3035,ES,Fruits,Melocoton,"Blanco Flesh, Árbol Madurado, Listo Para Comer",Grande,Prunus persica,"Blanco Flesh, Árbol Madurado, Listo Para Comer Melocoton"
3035,FR,Fruits,Nectarines,À Chair Blanche Mûries Sur L'arbre Prêtes À Consommer,grosses,,À Chair Blanche Mûries Sur L'arbre Prêtes À Consommer Nectarines
3036,EN,Fruits,Oranges,Midknight,Small,Citrus spp.,Midknight Oranges
3036,ES,Fruits,Naranjas,Midknight,Pequeño,Citrus spp.,Midknight Naranjas
3036,FR,Fruits,Oranges,Midknight,petites,,Midknight Oranges
3037,EN,Fruits,Pineapple,Queen,All Sizes,Ananas comosus,Queen Pineapple
3037,ES,Fruits,Piñas,Reina,Todos los tamaños,Ananas comosus,Reina Piñas
3037,FR,Fruits,Ananas,Queen,,,Queen Ananas
3038,EN,Fruits,Passion Fruit,"Granadilla, Orange",All Sizes,Passiflorae.var. flavicarpa,"Granadilla, Orange Passion Fruit"
3038,ES,Fruits,Maracuya / Fruta De La Pasion,Granadilla,Todos los tamaños,Passiflorae.var. flavicarpa,Granadilla Maracuya / Fruta De La Pasion
3038,FR,Fruits,Fruit De La Passion,Grenadille Orange,Toutes les tailles,,Grenadille Orange Fruit De La Passion
3039,EN,Fruits,Physalis/Cape Gooseberry/Ground Cherry,,All Sizes,Physalis spp.,Physalis/Cape Gooseberry/Ground Cherry
3039,ES,Fruits,Physalis/Cape Gooseberry/Cerezo Molido,,Todos los tamaños,Physalis spp.,Physalis/Cape Gooseberry/Cerezo Molido
3039,FR,Fruits,Cerises De Terre/Physalis,,,,Cerises De Terre/Physalis
3040,EN,Fruits,Pitahaya,Red (skin Color),All Sizes,Hylocereus lindatus,Red (skin Color) Pitahaya
3040,ES,Fruits,Pitaya,Rojo (skin Color),Todos los tamaños,Hylocereus lindatus,Rojo (skin Color) Pitaya
3040,FR,Fruits,Pitahaya,Rouge,,,Rouge Pitahaya
3041,EN,Fruits,Rambutan,,All Sizes,Nephelium lappaceum,Rambutan
3041,ES,Fruits,Rambutan,,Todos los tamaños,Nephelium lappaceum,Rambutan
3041,FR,Fruits,Ramboutan,,,,Ramboutan
3042,EN,Fruits,Mangosteen,,All Sizes,Garcinia mangostana,Mangosteen
3042,ES,Fruits,Garnicia Mangostana,Mangostino,Todos los tamaños,Garcinia mangostana,Mangostino Garnicia Mangostana
3042,FR,Fruits,Mangoustans,,,,Mangoustans
3043,EN,Fruits,Grapes,"Italia, Seeded",All Sizes,Vitis vinifera,"Italia, Seeded Grapes"
3043,ES,Fruits,Uvas,Italia,Todos los tamaños,Vitis vinifera,Italia Uvas
3043,FR,Fruits,Raisins,Italia Avec Pépins,,,Italia Avec Pépins Raisins
3044,EN,Fruits,Apricots,Black Velvet,All Sizes,Prunus armeniaca,Black Velvet Apricots
3044,ES,Fruits,Chabacano / Melocoton,Negro,Todos los tamaños,Prunus armeniaca,Negro Chabacano / Melocoton
3044,FR,Fruits,Abricots,Noirs,,,Noirs Abricots
3045,EN,Fruits,Dates,"Fresh, On Branch",All Sizes,Phoenix dactylifera,"Fresh, On Branch Dates"
3045,ES,Fruits,Datiles,Frescos,Todos los tamaños,Phoenix dactylifera,Frescos Datiles
3045,FR,Fruits,Dattes,"Fraîches, En Branche",,,"Fraîches, En Branche Dattes"
3046,EN,Fruits,Dates,"Fresh, Frozen",All Sizes,Phoenix dactylifera,"Fresh, Frozen Dates"
3046,ES,Fruits,Datiles,"Frescos, Congelado",Todos los tamaños,Phoenix dactylifera,"Frescos, Congelado Datiles"
3046,FR,Fruits,Dattes,"Fraîches, Surgelées",,,"Fraîches, Surgelées Dattes"
3047,EN,Fruits,Dates,Medjool,All Sizes,Phoenix dactylifera,Medjool Dates
3047,ES,Fruits,Datiles,Medjool,Todos los tamaños,Phoenix dactylifera,Medjool Datiles
3047,FR,Fruits,Dattes,Medjool,,,Medjool Dattes
3048,EN,Vegetables,Beans,Helda/Flat,All Sizes,Phaseolus vulgaris,Helda/Flat Beans
3048,ES,Vegetables,Frijoles,Helda/Plano,Todos los tamaños,Phaseolus vulgaris,Helda/Plano Frijoles
3048,FR,Vegetables,Haricots,Helda/Plats,,,Helda/Plats Haricots
3049,EN,Vegetables,Beans,Fine,All Sizes,Phaseolus vulgaris,Fine Beans
3049,ES,Vegetables,Frijoles,Fino,Todos los tamaños,Phaseolus vulgaris,Fino Frijoles
3049,FR,Vegetables,Haricots,Extra-Fins,,,Extra-Fins Haricots
3050,EN,Vegetables,Cabbage,Dutch White/Winter White,All Sizes,Brassica oleracea,Dutch White/Winter White Cabbage
3050,ES,Vegetables,Repollo,Dutch Blanco/Winter Blanco,Todos los tamaños,Brassica oleracea,Dutch Blanco/Winter Blanco Repollo
3050,FR,Vegetables,Chou,Blanc/Hollandais,,,Blanc/Hollandais Chou
3051,EN,Vegetables,Cabbage,Spring Cabbage/Spring Greens,All Sizes,Brassica oleracea,Spring Cabbage/Spring Greens Cabbage
3051,ES,Vegetables,Repollo,Repollo Primaveral/Verduras Primaverales,Todos los tamaños,Brassica oleracea,Repollo Primaveral/Verduras Primaverales Repollo
3051,FR,Vegetables,Chou,De Printemps Vert Primeur,,,De Printemps Vert Primeur Chou
3052,EN,Vegetables,Garlic,String,All Sizes,Allium sativum,String Garlic
3052,ES,Vegetables,Ajo,Cuerda,Todos los tamaños,Allium sativum,Cuerda Ajo
3052,FR,Vegetables,Ail,En Tresse,,,En Tresse Ail
3053,EN,Vegetables,Parsnip,Baby,All Sizes,Pastinaca sativa,Baby Parsnip
3053,ES,Vegetables,Chirivia,Baby,Todos los tamaños,Pastinaca sativa,Baby Chirivia
3053,FR,Vegetables,Panais,Jeunes,Toutes les tailles,,Jeunes Panais
3054,EN,Vegetables,Peppers (capsicums),Elongated (clovis Red/Lamuyo Red),All Sizes,Capsicum spp.,Elongated (clovis Red/Lamuyo Red) Peppers (capsicums)
3054,ES,Vegetables,Pimientos,Alargado (clovis Rojo/Lamuyo Rojo),Todos los tamaños,Capsicum spp.,Alargado (clovis Rojo/Lamuyo Rojo) Pimientos
3054,FR,Vegetables,Poivrons,Doux Allongés/Lamuyo Rouges,,,Doux Allongés/Lamuyo Rouges Poivrons
3055,EN,Vegetables,Peppers (capsicums),Elongated (clovis Green/Lamuyo Green),All Sizes,Capsicum spp.,Elongated (clovis Green/Lamuyo Green) Peppers (capsicums)
3055,ES,Vegetables,Pimientos,Alargada (clovis Verde/Lamuyo Verde),Todos los tamaños,Capsicum spp.,Alargada (clovis Verde/Lamuyo Verde) Pimientos
3055,FR,Vegetables,Poivrons,Doux Allongés/Lamuyo Verts,,,Doux Allongés/Lamuyo Verts Poivrons
3056,EN,Vegetables,Peppers (capsicums),Elongated (clovis Yellow/Lamuyo Yellow),All Sizes,Capsicum spp.,Elongated (clovis Yellow/Lamuyo Yellow) Peppers (capsicums)
3056,ES,Vegetables,Pimientos,Alargada (clovis Amarillo/Lamuyo Amarillo),Todos los tamaños,Capsicum spp.,Alargada (clovis Amarillo/Lamuyo Amarillo) Pimientos
3056,FR,Vegetables,Poivrons,Doux Allongés/Lamuyo Jaunes,,,Doux Allongés/Lamuyo Jaunes Poivrons
3057,EN,Vegetables,Peppers (capsicums),Elongated (clovis Orange/Lamuyo Orange),All Sizes,Capsicum spp.,Elongated (clovis Orange/Lamuyo Orange) Peppers (capsicums)
3057,ES,Vegetables,Pimientos,Alargada (clovis Naranja/Lamuyo Naranja),Todos los tamaños,Capsicum spp.,Alargada (clovis Naranja/Lamuyo Naranja) Pimientos
3057,FR,Vegetables,Poivrons,Doux Allongés/Lamuyo Oranges,Toutes les tailles,,Doux Allongés/Lamuyo Oranges Poivrons
3058,EN,Vegetables,Peppers (capsicums),Elongated (clovis White/Lamuyo White),All Sizes,Capsicum spp.,Elongated (clovis White/Lamuyo White) Peppers (capsicums)
3058,ES,Vegetables,Pimientos,Alargada (clovis Blanco/Lamuyo Blanco),Todos los tamaños,Capsicum spp.,Alargada (clovis Blanco/Lamuyo Blanco) Pimientos
3058,FR,Vegetables,Poivrons,Doux Allongés/Lamuyo Blancs,,,Doux Allongés/Lamuyo Blancs Poivrons
3059,EN,Vegetables,Squash,Crown Prince,All Sizes,C.maxima,Crown Prince Squash
3059,ES,Vegetables,Calabacita,Crown Prince,Todos los tamaños,C.maxima,Crown Prince Calabacita
3059,FR,Vegetables,Courge,Crown Prince,Toutes les tailles,,Crown Prince Courge
3060,EN,Vegetables,Squash,Vegetable Marrow,All Sizes,C.pepo,Vegetable Marrow Squash
3060,ES,Vegetables,Calabacita,Vegetable Marrow,Todos los tamaños,C.pepo,Vegetable Marrow Calabacita
3060,FR,Vegetables,Courge,À Moëlle,,,À Moëlle Courge
3061,EN,Vegetables,Tomatoes,Beef/Beefsteak,All Sizes,Lycopersicon esculenta,Beef/Beefsteak Tomatoes
3061,ES,Vegetables,Tomates,Beef/Beefsteak,Todos los tamaños,Lycopersicon esculenta,Beef/Beefsteak Tomates
3061,FR,Vegetables,Tomates,Beefsteak,,,Beefsteak Tomates
3062,EN,Herbs,Bay Leaves,,All Sizes,Laurus nobilis,Bay Leaves
3062,ES,Herbs,Hojas De Laurel,,Todos los tamaños,Laurus nobilis,Hojas De Laurel
3062,FR,Herbs,Feuilles De Laurier,,,,Feuilles De Laurier
3063,EN,Herbs,Fennel Leaves,,All Sizes,Foeniculum vulgare,Fennel Leaves
3063,ES,Herbs,Hojas De Hinojo,,Todos los tamaños,Foeniculum vulgare,Hojas De Hinojo
3063,FR,Herbs,Feuilles De Fenouil,,,,Feuilles De Fenouil
3064,EN,Herbs,Aloe Vera Leaves,,All Sizes,Aloe Vera,Aloe Vera Leaves
3064,ES,Herbs,Hojas De Savila,,Todos los tamaños,Aloe Vera,Hojas De Savila
3064,FR,Herbs,Feuilles D'aloe Vera,,,,Feuilles D'aloe Vera
3065,EN,Fruits,Apples,Cameo,Small,Malus domestica,Cameo Apples
3065,ES,Fruits,Manzanas,Cameo,Pequeño,Malus domestica,Cameo Manzanas
3065,FR,Fruits,Pommes,Cameo,petites,,Cameo Pommes
3066,EN,Fruits,Apples,Cameo,Large,Malus domestica,Cameo Apples
3066,ES,Fruits,Manzanas,Cameo,Grande,Malus domestica,Cameo Manzanas
3066,FR,Fruits,Pommes,Cameo,grosses,,Cameo Pommes
3067,EN,Fruits,Apples,Swiss Gourmet,Small,Malus domestica,Swiss Gourmet Apples
3067,ES,Fruits,Manzanas,Swiss Gourmet,Pequeño,Malus domestica,Swiss Gourmet Manzanas
3067,FR,Fruits,Pommes,Swiss Gourmet/Arlet,petites,,Swiss Gourmet/Arlet Pommes
3068,EN,Fruits,Apples,Swiss Gourmet,Large,Malus domestica,Swiss Gourmet Apples
3068,ES,Fruits,Manzanas,Swiss Gourmet,Grande,Malus domestica,Swiss Gourmet Manzanas
3068,FR,Fruits,Pommes,Swiss Gourmet/Arlet,grosses,,Swiss Gourmet/Arlet Pommes
3069,EN,Fruits,Apples,"Gravenstein, Red",Small,Malus domestica,"Gravenstein, Red Apples"
3069,ES,Fruits,Manzanas,"Gravenstein, Rojo",Pequeño,Malus domestica,"Gravenstein, Rojo Manzanas"
3069,FR,Fruits,Pommes,"Gravenstein, Rouge",petites,,"Gravenstein, Rouge Pommes"
3070,EN,Fruits,Apples,"Gravenstein, Red",Large,Malus domestica,"Gravenstein, Red Apples"
3070,ES,Fruits,Manzanas,Gravenstein,Grande,Malus domestica,Gravenstein Manzanas
3070,FR,Fruits,Pommes,"Gravenstein, Rouge",grosses,,"Gravenstein, Rouge Pommes"
3071,EN,Fruits,Apples,"Granny Smith, Red",All Sizes,Malus domestica,"Granny Smith, Red Apples"
3071,ES,Fruits,Manzanas,Granny Smith,Todos los tamaños,Malus domestica,Granny Smith Manzanas
3071,FR,Fruits,Pommes,"Granny Smith, Rouge",,,"Granny Smith, Rouge Pommes"
3072,EN,Fruits,Apples,Lady,All Sizes,Malus domestica,Lady Apples
3072,ES,Fruits,Manzanas,Lady,Todos los tamaños,Malus domestica,Lady Manzanas
3072,FR,Fruits,Pommes,Lady,,,Lady Pommes
3073,EN,Fruits,Apples,Macoun,All Sizes,Malus domestica,Macoun Apples
3073,ES,Fruits,Manzanas,Macoun,Todos los tamaños,Malus domestica,Macoun Manzanas
3073,FR,Fruits,Pommes,Macoun,,,Macoun Pommes
3074,EN,Fruits,Apples,Greening (ri),All Sizes,Malus domestica,Greening (ri) Apples
3074,ES,Fruits,Manzanas,Greening (ri),Todos los tamaños,Malus domestica,Greening (ri) Manzanas
3074,FR,Fruits,Pommes,Greening (du Rhode Island),,,Greening (du Rhode Island) Pommes
3075,EN,Fruits,Apples,Baldwin,All Sizes,Malus domestica,Baldwin Apples
3075,ES,Fruits,Manzanas,Baldwin,Todos los tamaños,Malus domestica,Baldwin Manzanas
3075,FR,Fruits,Pommes,Baldwin,Toutes les tailles,,Baldwin Pommes
3076,EN,Fruits,Apples,Melrose,All Sizes,Malus domestica,Melrose Apples
3076,ES,Fruits,Manzanas,Melrose,Todos los tamaños,Malus domestica,Melrose Manzanas
3076,FR,Fruits,Pommes,Melrose,Toutes les tailles,,Melrose Pommes
3077,EN,Fruits,Apples,Northern Spy,All Sizes,Malus domestica,Northern Spy Apples
3077,ES,Fruits,Manzanas,Northern Spy,Todos los tamaños,Malus domestica,Northern Spy Manzanas
3077,FR,Fruits,Pommes,Northern Spy,,,Northern Spy Pommes
3078,EN,Fruits,Apples,Liberty,All Sizes,Malus domestica,Liberty Apples
3078,ES,Fruits,Manzanas,Liberty,Todos los tamaños,Malus domestica,Liberty Manzanas
3078,FR,Fruits,Pommes,Liberty,,,Liberty Pommes
3079,EN,Vegetables,Asparagus,Purple,All Sizes,Asparagus officinalis,Purple Asparagus
3079,ES,Vegetables,Esparragos,Morado,Todos los tamaños,Asparagus officinalis,Morado Esparragos
3079,FR,Vegetables,Asperges,Violettes Ou Mauves,,,Violettes Ou Mauves Asperges
3080,EN,Fruits,Avocados,Pinkerton,All Sizes,Persea americana,Pinkerton Avocados
3080,ES,Fruits,Aguacates,Pinkerton,Todos los tamaños,Persea americana,Pinkerton Aguacates
3080,FR,Fruits,Avocats,Pinkerton,,,Pinkerton Avocats
3081,EN,Fruits,Berries,Saskatoon,All Sizes,Amelanchier alnifolia,Saskatoon Berries
3081,ES,Fruits,Bayas,Fresa De Junio/ Saskatoon,Todos los tamaños,Amelanchier alnifolia,Fresa De Junio/ Saskatoon Bayas
3081,FR,Fruits,Baies,Baies D'amélanchier,,,Baies D'amélanchier Baies
3082,EN,Vegetables,Broccoli,Crowns,All Sizes,Brassica oleracea,Crowns Broccoli
3082,ES,Vegetables,Brocoli,Coronas,Todos los tamaños,Brassica oleracea,Coronas Brocoli
3082,FR,Vegetables,Brocoli,Couronnes,,,Couronnes Brocoli
3083,EN,Vegetables,Brussels Sprouts,Stalk,All Sizes,Brassica olerace,Stalk Brussels Sprouts
3083,ES,Vegetables,Coles De Bruselas,Tallo,Todos los tamaños,Brassica olerace,Tallo Coles De Bruselas
3083,FR,Vegetables,Choux De Bruxelles,Sur Tige,,,Sur Tige Choux De Bruxelles
3084,EN,Herbs,Chervil,,All Sizes,Anthriscus cerefolium,Chervil
3084,ES,Herbs,Perifollo,,Todos los tamaños,Anthriscus cerefolium,Perifollo
3084,FR,Herbs,Cerfeuil,,,,Cerfeuil
3085,EN,Vegetables,Corn,"Indian, Decorative",Large,Zea mays,"Indian, Decorative Corn"
3085,ES,Vegetables,Maiz,"Indian, , Decorativa",Grande,Zea mays,"Indian, , Decorativa Maiz"
3085,FR,Vegetables,Maïs,Indien Décoratif Gros,,,Indien Décoratif Gros Maïs
3086,EN,Vegetables,Corn,Indian. Decorative,Mini,Zea mays,Indian. Decorative Corn
3086,ES,Vegetables,Maiz,Indian,Mini,Zea mays,Indian Maiz
3086,FR,Vegetables,Maïs,Indien Décoratif Mini,,,Indien Décoratif Mini Maïs
3087,EN,Vegetables,Corn,"Indian, Strawberry",All Sizes,Zea mays,"Indian, Strawberry Corn"
3087,ES,Vegetables,Maiz,"Indian, Fresa",Todos los tamaños,Zea mays,"Indian, Fresa Maiz"
3087,FR,Vegetables,Maïs,"Indien, Fraise",,,"Indien, Fraise Maïs"
3088,EN,Fruits,Currants,Red,All Sizes,Ribes sativum,Red Currants
3088,ES,Fruits,Grosellas,Rojo,Todos los tamaños,Ribes sativum,Rojo Grosellas
3088,FR,Fruits,Groseilles,Rouge,Toutes les tailles,,Rouge Groseilles
3089,EN,Vegetables,Eggplant (aubergine),Chinese,All Sizes,Solanum melongena,Chinese Eggplant (aubergine)
3089,ES,Vegetables,Berenjena,China,Todos los tamaños,Solanum melongena,China Berenjena
3089,FR,Vegetables,Aubergine,Chinoise,,,Chinoise Aubergine
3090,EN,Vegetables,Eggplant (aubergine),Thai,All Sizes,Solanum melongena,Thai Eggplant (aubergine)
3090,ES,Vegetables,Berenjena,Thai,Todos los tamaños,Solanum melongena,Thai Berenjena
3090,FR,Vegetables,Aubergine,Thaïlandaise/Bicolore/Tigrée,Toutes les tailles,,Thaïlandaise/Bicolore/Tigrée Aubergine
3091,EN,Vegetables,Gobo Root/Burdock,,All Sizes,Arctium lappa,Gobo Root/Burdock
3091,ES,Vegetables,Gobo Root/Bardana,,Todos los tamaños,Arctium lappa,Gobo Root/Bardana
3091,FR,Vegetables,Bardane,,,,Bardane
3092,EN,Fruits,Grapefruit,Oroblanco/Sweetie,All Sizes,Citrus paradisi,Oroblanco/Sweetie Grapefruit
3092,ES,Fruits,Toronja,Oroblanco/Dulceie,Todos los tamaños,Citrus paradisi,Oroblanco/Dulceie Toronja
